question,expected_answer,expected_keywords,expected_event_ids,comment
"Quels événements autour de l'astronomie sont disponibles ?","Le système doit proposer l'Initiation à l'astronomie à Lanton, avec observation aux instruments et découverte du ciel nocturne.","astronomie;Lanton;observation;téléscope;nature","13708573","Requête thématique précise avec un seul événement attendu."
"Je cherche une exposition autour de la nature ou des plantes.","Le système doit identifier l'exposition Ex(s)istere à Audenge, consacrée au végétal sauvage et à 14 plantes, au Domaine de Certes.","exposition;nature;plantes;végétal sauvage;Audenge;Domaine de Certes","95865579","Requête exposition / nature."
"Y a-t-il une sortie botanique ou flore sur le Bassin d'Arcachon ?","Le système peut proposer la sortie sur les lichens au Domaine de Certes et Graveyron à Audenge, ou la balade sur la flore sauvage de la Dune du Pilat à La Teste-de-Buch.","botanique;flore;lichens;Dune du Pilat;Audenge;La Teste-de-Buch","70763679;21549771","Requête thématique avec plusieurs événements attendus."
"Je cherche une activité à faire en famille autour du vélo.","Le système doit proposer des événements vélo adaptés au grand public, par exemple Tous en selle à Arès ou Mai à vélo Sud Bassin au Teich.","vélo;famille;animations;Arès;Le Teich","80332762;38800197","Requête famille / vélo."
"Quels événements vélo sont prévus en mai ?","Le système doit retrouver plusieurs événements liés au vélo en mai, comme Mai à Vélo 2026 dans plusieurs communes, Café de la Mobilité à Biganos, Tous en selle à Arès ou Mai à vélo Sud Bassin au Teich.","vélo;mai;Mios;Andernos-les-Bains;La Teste-de-Buch;Biganos;Arès;Le Teich","10772673;49861420;97562973;10047942;80332762;38800197","Requête large avec plusieurs événements similaires."
"Que peut-on faire à Arès ?","Le système doit proposer les événements localisés à Arès, notamment Tous en selle, Symphonie pour klaxons et essuie-glaces ou Crossing - Studio 8 selon les résultats retrouvés.","Arès;Tous en selle;spectacle;vélo;théâtre","80332762;5335717;53614677","Requête par commune."
"Je cherche un spectacle ou une balade artistique à Biganos.","Le système doit proposer Je me laisse porter - Saison 6 à Biganos, une balade avec des parenthèses artistiques mêlant plusieurs disciplines.","Biganos;spectacle;balade artistique;théâtre;danse;cirque;musique","31322983","Requête spectacle / commune."
"Y a-t-il un spectacle avec théâtre ou humour à Arès ?","Le système doit proposer Symphonie pour klaxons et essuie-glaces à Arès, un spectacle mêlant théâtre, humour et musique.","Arès;théâtre;humour;musique;spectacle","5335717","Requête spectacle précise."
"Quels événements concernent le patrimoine en septembre ?","Le système doit proposer les événements des Journées européennes du patrimoine, comme Trésors fragiles de Salles ou Dans les pas de Cazenave... ou presque ! à Belin-Béliet.","patrimoine;septembre;Salles;Belin-Béliet;Journées européennes du patrimoine","86073148;23079313","Requête date / patrimoine."
"Je cherche une information santé ou accès aux droits à Andernos.","Le système doit proposer l'événement Information CPAM - Accès aux droits et la prévention santé à Andernos-les-Bains.","santé;CPAM;droits;prévention;Andernos-les-Bains","48414835","Requête santé / droits."
"Existe-t-il des événements pour préparer ma retraite ?","Le système doit proposer l'information collective Préparez sereinement votre retraite, animée par la Carsat à Andernos-les-Bains.","retraite;Carsat;information collective;Andernos-les-Bains","73676492","Requête administrative précise."
"Je cherche une aide pour créer mon entreprise à La Teste-de-Buch.","Le système doit proposer les événements liés à la création d'entreprise à La Teste-de-Buch, comme l'accompagnement EGEE, les rendez-vous ADIE ou l'atelier CANVAS.","création d'entreprise;La Teste-de-Buch;EGEE;ADIE;CANVAS;emploi","71142225;29993164;1286512","Requête emploi / création d'entreprise."
"Je cherche un événement autour de la mobilité ou du permis de conduire.","Le système doit proposer les événements de mobilité, comme Point Information Mobilité à Andernos-les-Bains ou Café de la Mobilité Objectif Permis B à Biganos.","mobilité;permis B;Biganos;Andernos-les-Bains;déplacement","86620406;38852602","Requête mobilité."
"Est-ce que l'exposition Ex(s)istere est gratuite ?","Le système doit répondre que l'exposition Ex(s)istere à Audenge est indiquée comme gratuite si cet élément est retrouvé dans le contexte.","gratuit;Ex(s)istere;Audenge;exposition;Domaine de Certes","95865579","Question précise avec information de gratuité présente dans le corpus."
"Peux-tu me conseiller un restaurant à Arcachon ?","Le système doit répondre prudemment que le contexte contient des événements culturels et ne permet pas de recommander un restaurant.","restaurant;hors sujet;contexte insuffisant","","Cas hors sujet : le système doit refuser d'inventer."
